created_at,text,url,replies,retweets,favorites,user
2017-10-21T12:35:00Z,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",https://twitter.com/realDonaldTrump/status/921716470140325889,38253,69410,205353,realDonaldTrump
2017-10-21T12:07:00Z,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",https://twitter.com/realDonaldTrump/status/921709468055896064,33326,19720,88116,realDonaldTrump
2017-10-21T11:52:00Z,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",https://twitter.com/realDonaldTrump/status/921705862992887808,9928,15220,67659,realDonaldTrump
2017-10-20T23:52:00Z,"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!",https://twitter.com/realDonaldTrump/status/921524504836395008,22288,13708,69808,realDonaldTrump
2017-10-20T21:10:00Z,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today: https://t.co/9czcJDbmVW https://t.co/s3kXpvbYih,https://twitter.com/realDonaldTrump/status/921483820288921601,16232,15468,61856,realDonaldTrump
2017-10-20T18:50:00Z,"Today, it was an honor to have @UNSecretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A., we appreciate all you do! https://t.co/Sk0Jcazzxw",https://twitter.com/realDonaldTrump/status/921448521617821701,4644,6894,34922,realDonaldTrump
2017-10-20T18:31:00Z,Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw,https://twitter.com/realDonaldTrump/status/921443729990397952,9395,12757,47309,realDonaldTrump
2017-10-20T10:31:00Z,"Just out report: ""United Kingdom crime rises 13% annually amid spread of Radical Islamic terror."" Not good, we must keep America safe!",https://twitter.com/realDonaldTrump/status/921323063945453574,52558,29383,106684,realDonaldTrump
2017-10-20T10:15:00Z,"....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!",https://twitter.com/realDonaldTrump/status/921319017826091008,11593,15122,73682,realDonaldTrump
2017-10-20T10:11:00Z,"The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against.....",https://twitter.com/realDonaldTrump/status/921317883321430016,7943,15790,70155,realDonaldTrump
2017-10-20T05:12:00Z,Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the American people! #TaxReform https://t.co/aBzQR7KR0c,https://twitter.com/realDonaldTrump/status/921242760685998080,9658,12767,53372,realDonaldTrump
2017-10-20T03:00:00Z,Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!,https://twitter.com/realDonaldTrump/status/921209530628956161,10478,9778,50938,realDonaldTrump
2017-10-20T02:53:00Z,"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!",https://twitter.com/realDonaldTrump/status/921207772233990144,49062,20955,89823,realDonaldTrump
2017-10-20T01:43:00Z,"Keep up the GREAT work. I am with you 100%!""ISIS is losing its grip...""Army Colonel Ryan DillonCJTF���OIRhttps://t.co/jVGuvv5mzm https://t.co/PSCXg38CtS",https://twitter.com/realDonaldTrump/status/921189980843663360,7960,12668,53891,realDonaldTrump
2017-10-19T20:40:00Z,It was great to have Governor @RicardoRossello of #PuertoRico_���_���with us at the @WhiteHouse today. We are with you! #PRStrong https://t.co/Op2xDZxvNc,https://twitter.com/realDonaldTrump/status/921113816053755904,9335,10865,48875,realDonaldTrump
2017-10-19T12:25:00Z,RT @USArmy333: @804StreetMedia @realDonaldTrump He�۪s done more in 9 months then obama did in8 yrs,https://twitter.com/realDonaldTrump/status/920989237276762112,22017,8273,35846,realDonaldTrump
2017-10-19T12:21:00Z,".@foxandfriends ""Russia sent millions to Clinton Foundation""",https://twitter.com/realDonaldTrump/status/920988223362469891,25491,23359,71378,realDonaldTrump
2017-10-19T11:56:00Z,"Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?",https://twitter.com/realDonaldTrump/status/920981920787386368,30362,24767,84663,realDonaldTrump
2017-10-19T11:17:00Z,"Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!",https://twitter.com/realDonaldTrump/status/920972261032648705,26991,39948,117721,realDonaldTrump
2017-10-19T10:54:00Z,"Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?",https://twitter.com/realDonaldTrump/status/920966294035451904,12982,13467,71282,realDonaldTrump
